 Site,Geo Point,Geo Shape,Shape__Length
BCY,"48.839708581916696, 2.37838683197081","{""coordinates"":[[2.37833144847643,48.8397579892534],[2.37844221546519,48.83965917458]],""type"":""LineString""}",20.769406334929936
BCY,"48.83753182340843, 2.3815858811766963","{""coordinates"":[[2.38249941094921,48.8377022172697],[2.38232501202866,48.8375990366157],[2.3822334674466,48.8376618731386],[2.38148727820043,48.8372567623368],[2.38078677435869,48.8378131362357],[2.3807044737445,48.837775733356]],""type"":""LineString""}",281.84841907473407
CDM,"48.85005021950679, 2.2998440783594623","{""coordinates"":[[2.30142697091353,48.8521463643079],[2.30103805070117,48.8518639783214],[2.3015074375051,48.8515639422045],[2.29837729922009,48.8494142160646],[2.29814260626728,48.8491362274613],[2.30054452436891,48.8483816797779]],""type"":""LineString""}",991.0607701097967
CPL,"48.89874796489728, 2.360893250089493","{""coordinates"":[[2.35960477625336,48.8986427948581],[2.35960281671492,48.8987677488445],[2.36017500193737,48.8987716133958],[2.36035919855008,48.8988192761706],[2.36087847623483,48.8987458497148],[2.36189939575844,48.8987084923538],[2.36230626774194,48.8987234507595]],""type"":""LineString""}",325.21040033407496
CPL,"48.89874348080812, 2.3626587447632583","{""coordinates"":[[2.36319240365197,48.8987181868554],[2.36230626774193,48.8987234507595],[2.36228758415347,48.8989445342309]],""type"":""LineString""}",136.1432104466547
CSB,"48.90646669611413, 2.5502345438529064","{""coordinates"":[[2.5491528287243,48.906330528816],[2.54929228836677,48.9063634231969],[2.54934233369301,48.9064603518465],[2.54952182959648,48.9064309662576],[2.54954985497917,48.9064919303705],[2.54969265097673,48.9065603504373],[2.55050471980392,48.9065616662069],[2.55059813774624,48.9065191229723],[2.55072158288431,48.9064296504846],[2.55083968985425,48.9064875444655],[2.5511192764102,48.9062612312496],[2.55130744683688,48.9063603530556]],""type"":""LineString""}",301.00409785918805
DEF,"48.89537382348568, 2.2271776597882162","{""coordinates"":[[2.22606554065799,48.8957238128994],[2.22780177984317,48.8951780858113],[2.22828888768528,48.8950210346289]],""type"":""LineString""}",274.62472997666777
DEF,"48.896872258452, 2.222831906390014","{""coordinates"":[[2.21899235667359,48.8980273677364],[2.22015390869559,48.8976657970002],[2.22019444540984,48.8977181081238],[2.22373315042807,48.8966198920384],[2.22395334986352,48.8965508003456],[2.2239283272004,48.8965152674378],[2.2258740894845,48.8959098880909],[2.22655470592133,48.8956894492253],[2.22648812852816,48.8955909874814]],""type"":""LineString""}",964.7516762929332
ECM,"48.85585443971979, 2.301288710046288","{""coordinates"":[[2.30076123860864,48.85628815898],[2.3007944986829,48.8563135336372],[2.30091576077382,48.85624276834],[2.30165176894304,48.8557647530746],[2.30126267579914,48.8554837695476],[2.30136021269835,48.8554126561827],[2.30127348394202,48.8553528168095]],""type"":""LineString""}",233.3458690432192
EIF,"48.85561274088348, 2.2917938469766312","{""coordinates"":[[2.29042656127033,48.8530755783502],[2.28888429136973,48.8545845214685],[2.28928662253095,48.8549286599588],[2.2895146104585,48.8552904439048],[2.29221023004732,48.8554404513174],[2.2924046901535,48.8555507506162],[2.29309535896138,48.8561551860327],[2.29293442667656,48.8562787190653],[2.29500509191547,48.8576534480211],[2.29570246664695,48.8572122684909]],""type"":""LineString""}",1367.7264056792053
