Site,Geo Point,Geo Shape,Shape Length,Nom français
AQC,"48.9245929744917, 2.354921840568105","{""coordinates"":[[2.35486104393716,48.9246117727381],[2.35498263719905,48.9245741762453]],""type"":""LineString""}",14.95955388698039,Centre Aquatique
AQC,"48.921806773383445, 2.351409530235669","{""coordinates"":[[2.35444977004726,48.9192369052633],[2.35413505786386,48.9209195141368],[2.35166027291797,48.9207033166057],[2.35128833984763,48.9221320853836],[2.3496003362585,48.9221320853836],[2.34877063968567,48.9240213822951],[2.34917118319951,48.9242657637632],[2.34988643799838,48.9241435731786]],""type"":""LineString""}",1474.8362724183119,Centre Aquatique
AQC,"48.9246058983728, 2.3549701205230402","{""coordinates"":[[2.35492899340354,48.924632921011],[2.35501124764254,48.9245788757346]],""type"":""LineString""}",12.949246481951562,Centre Aquatique
AQC,"48.92469401565795, 2.3551024432627092","{""coordinates"":[[2.35517218082568,48.9247856575508],[2.35503270569974,48.9246023737651]],""type"":""LineString""}",34.717772790745606,Centre Aquatique
AQC,"48.924581225180646, 2.3548270696531","{""coordinates"":[[2.35493468962077,48.924562922141],[2.35471944968543,48.9245995282203]],""type"":""LineString""}",24.750037005105884,Centre Aquatique
AQC,"48.92467521690805, 2.354993366227665","{""coordinates"":[[2.35498631130858,48.9247316171616],[2.35500042114675,48.9246188166545]],""type"":""LineString""}",19.17543792323213,Centre Aquatique
AQC,"48.925540907362056, 2.359253641371062","{""coordinates"":[[2.36180260012369,48.925567544734],[2.3609442931074,48.9259341051384],[2.35798313421554,48.9257649237022],[2.35756828592912,48.9240542796657]],""type"":""LineString""}",738.3153202069899,Centre Aquatique
Arena Bercy,"48.838622926231935, 2.381809746119731","{""coordinates"":[[2.38408469360367,48.8396178286383],[2.38234125767332,48.8398826304424],[2.38066934650417,48.8390882220127],[2.38226079108175,48.8377347566298],[2.38080345599295,48.8368755824988],[2.38035642196823,48.8372551504796]],""type"":""LineString""}",1017.2029448276724,Arena Bercy à Paris
Arena Bercy,"48.838130327423784, 2.3771897361570486","{""coordinates"":[[2.37812516041436,48.8369541068032],[2.3780466503535,48.8370884454281],[2.37803121370364,48.8371200992268],[2.37798560174509,48.8371705111193],[2.37794131749654,48.8372393351553],[2.37790723092308,48.8372755629309],[2.37787649686225,48.8373106873695],[2.37761749639617,48.8376021663412],[2.37732664436504,48.8378627488986],[2.37669129650732,48.8384063452217],[2.37645939641671,48.8387178619213],[2.37707518705243,48.8390293760923],[2.37726294213331,48.8390117225392]],""type"":""LineString""}",460.6263910992127,Arena Bercy à Paris
Arena Bercy,"48.83811164278609, 2.377193747068085","{""coordinates"":[[2.3781279541749,48.8369664277849],[2.37796311062532,48.8372121177437],[2.37788711405061,48.8372919298995],[2.3776348186098,48.8375911327046],[2.37734229032236,48.8378517153195],[2.37673488186659,48.838370668725],[2.37646889610085,48.838704253619],[2.37702936668471,48.838993333464],[2.37721712086729,48.8389992175904]],""type"":""LineString""}",448.73074788413123,Arena Bercy à Paris
