Code site,Nom du parking velo,Adresse du parking velo,Geo Shape,geo_point
BCY,Parking vélo Arena Bercy,"Rue de Bercy, 75012 Paris","{""coordinates"": [[[2.382621051316024, 48.837718832670255], [2.383187776996464, 48.837340529362216], [2.38320893860962, 48.83735476123357], [2.383412822043127, 48.8372398436349], [2.383433724043157, 48.837209968457266], [2.383433952215249, 48.83719069536037], [2.383424430073255, 48.837172799328904], [2.383414816303083, 48.8371627559789], [2.38326657631489, 48.83707846886134], [2.383255780361804, 48.83707698476538], [2.383226618352737, 48.837073979323115], [2.38320170447663, 48.83707741994253], [2.38318213916975, 48.83708588579279], [2.382736842486781, 48.837439203389984], [2.382457664985046, 48.83765625527774], [2.382621051316024, 48.837718832670255]]], ""type"": ""Polygon""}","48.83737675380535, 2.382978322793239"
CDM,Parking vélo Champ de Mars,"Boulevard de Grenelle proche rue du Laos, 75015 Paris","{""coordinates"": [[[2.300113899869461, 48.84844026228031], [2.300410796664123, 48.84835207488065], [2.300390467789243, 48.84831773789923], [2.300427411005312, 48.84830801599989], [2.300449388288729, 48.848340138576326], [2.300753512928176, 48.84824607209893], [2.300732919050279, 48.84821318275119], [2.3007716526087, 48.84820175006672], [2.300794363815713, 48.8482334376311], [2.300932523808104, 48.84819070398656], [2.300871041313429, 48.84809202099088], [2.300724611430523, 48.84813646430447], [2.30074797122118, 48.84816896354864], [2.300707440133875, 48.84818014855201], [2.300684933742765, 48.84814841602707], [2.300382837499229, 48.84824154691094], [2.300404008993855, 48.848275936556156], [2.300364204643607, 48.848286650396275], [2.300340844852948, 48.848254151819624], [2.30004591896202, 48.848347537879405], [2.300113899869461, 48.84844026228031]]], ""type"": ""Polygon""}","48.848268621107124, 2.3004875074952014"
CPL,Parking vélo Arena la Chapelle,"56 Boulevard Ney, 75018 Paris","{""coordinates"": [[[2.359711611869047, 48.89867120501112], [2.360464383044595, 48.89868287235766], [2.360843149449773, 48.89864474004424], [2.360846612456909, 48.89860518485261], [2.359712064632256, 48.89858115751693], [2.359711611869047, 48.89867120501112]]], ""type"": ""Polygon""}","48.898633110107035, 2.3602296177615703"
CSB,Parking vélo Clichy-sous-Bois,"Allée de Gagny, 93390 Clichy-sous-Bois","{""coordinates"": [[[2.548927671856941, 48.90592848893272], [2.548868663322577, 48.90598137878522], [2.549053735135717, 48.90629695598544], [2.549177116943361, 48.90633926803232], [2.548927671856941, 48.90592848893272]]], ""type"": ""Polygon""}","48.9061387874727, 2.5490102217406982"
DEF,Parking vélo Paris la Defense Arena - Mandela,"Place Nelson Mandela, 92000 Nanterre","{""coordinates"": [[[2.218726478421028, 48.89818329154799], [2.218995395172835, 48.898122372134544], [2.218737380451512, 48.89767503024569], [2.218482999740341, 48.89774849253956], [2.218726478421028, 48.89818329154799]]], ""type"": ""Polygon""}","48.89793302410236, 2.218736781598876"
DEF,Parking vélo Paris la Defense Arena - Arche,"Place Carpeaux, 92800 Puteaux","{""coordinates"": [[[2.23846734228016, 48.89393330113339], [2.238362736160262, 48.893880398530435], [2.238134748232747, 48.89410259038596], [2.238213873639586, 48.894145794522075], [2.23846734228016, 48.89393330113339]]], ""type"": ""Polygon""}","48.89401104172076, 2.238299764339393"
DEF,Parking vélo Paris la Defense Arena - Arche,"Place Carpeaux, 92800 Puteaux","{""coordinates"": [[[2.237769968447019, 48.893605302202715], [2.23806232874947, 48.89380280747234], [2.238201803875445, 48.89389450566046], [2.238341279001386, 48.89375695772461], [2.237826294611955, 48.89354181794722], [2.237804836554754, 48.893592957949785], [2.237769968447019, 48.893605302202715]]], ""type"": ""Polygon""}","48.893717508667514, 2.2380680683107657"
DEF,Parking vélo Paris la Defense Arena - Arche,"Place Carpeaux, 92800 Puteaux","{""coordinates"": [[[2.238928681975798, 48.89408848331467], [2.238966233351295, 48.8940620321023], [2.238612182145005, 48.89389097917363], [2.238472707019028, 48.89401970966091], [2.238928681975798, 48.89408848331467]]], ""type"": ""Polygon""}","48.89400237317008, 2.2387020820441736"
EIF,Parking vélo Eiffel,"Boulevard de Grenelle proche rue St Saëns, 75015 Paris","{""coordinates"": [[[2.290253587967421, 48.85310711918312], [2.290427380533853, 48.85293162010658], [2.290375801965204, 48.852910203278086], [2.290400759858732, 48.85287798905963], [2.290458428106694, 48.85290026652386], [2.290637485145547, 48.852719464003236], [2.290498737654959, 48.8526594183279], [2.290314020331529, 48.85284100652019], [2.290364937740139, 48.85286064361544], [2.290338563203397, 48.8528909456799], [2.290284129788774, 48.852871017781816], [2.290104880855277, 48.85305099749321], [2.290194554280199, 48.853086167613064], [2.290253587967421, 48.85310711918312]]], ""type"": ""Polygon""}","48.85288515408305, 2.2903719086611605"
ELA,Parking vélo colline d'Elancourt,"Terrain de sport du collège la Clef de Saint-Pierre, 5 Rue de Dublin, 78990 Élancourt","{""coordinates"": [[[1.969157260223897, 48.791781003445], [1.968825756731211, 48.79131273573607], [1.967534479714261, 48.79171082505618], [1.967828385119029, 48.79217668869648], [1.969157260223897, 48.791781003445]]], ""type"": ""Polygon""}","48.791745390053954, 1.9683397462143506"
