Venue,Geo Point,Geo Shape,Sites,Nom des arrêts
RGA,"48.8465729997651, 2.24654299995334","{""coordinates"": [2.24654299995334, 48.8465729997651], ""type"": ""Point""}",Stade Roland-Garros,Stade Roland-Garros (RGA) - PSH-TAXI
MRS,"43.2697252391966, 5.40013438362157","{""coordinates"": [5.40013438362157, 43.2697252391966], ""type"": ""Point""}",Stade de Marseille,Stade de Marseille (MRS) - PSH-DEPOSE-MIN
LGN,"48.7553110022948, 2.07072912890049","{""coordinates"": [2.07072912890049, 48.7553110022948], ""type"": ""Point""}",Le Golf National,Venue_code_1 is unknown ( ) - OHE
BCY,"48.8399322697608, 2.37789304742304","{""coordinates"": [2.37789304742304, 48.8399322697608], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - TAXI
VEL,"48.7892434078688, 2.03286763070314","{""coordinates"": [2.03286763070314, 48.7892434078688], ""type"": ""Point""}",Velopark de St-Q.-en-Yvelines,Velopark de Saint-Quentin-en-Yvelines (VEL) - PFR-navettes
LYO,"45.7656563867661, 4.97824217619838","{""coordinates"": [4.97824217619838, 45.7656563867661], ""type"": ""Point""}",Stade de Lyon,Stade de Lyon (LYO) - PSH-TAXI
CTX,"46.8151905222285, 1.75471564330765","{""coordinates"": [1.75471564330765, 46.8151905222285], ""type"": ""Point""}",Tir Chateauroux - Village,Centre National de Tir de Châteauroux (CTX) - PSH-DEPOSE-MIN
CTX,"46.8192868830972, 1.7573732479903","{""coordinates"": [1.7573732479903, 46.8192868830972], ""type"": ""Point""}",Tir Chateauroux - Village,Centre National de Tir de Châteauroux (CTX) - PSH-DEPOSE-MIN
CDM,"48.8501319799975, 2.30106178598758","{""coordinates"": [2.30106178598758, 48.8501319799975], ""type"": ""Point""}",Eiffel Champ-de-Mars,Arena Champ-de-Mars (CDM) ECM - PSH-DEPOSE-MIN
VEL,"48.7903568872341, 2.03246799179278","{""coordinates"": [2.03246799179278, 48.7903568872341], ""type"": ""Point""}",Velopark de St-Q.-en-Yvelines,Velopark de Saint-Quentin-en-Yvelines (VEL) - PMR-Parking
RGA,"48.8471117362589, 2.24467183706432","{""coordinates"": [2.24467183706432, 48.8471117362589], ""type"": ""Point""}",Roland-G.-Parc des Princes,Stade Roland-Garros (RGA) PDP - PMR-Parking
TRO,"48.8596154874161, 2.28761982367411","{""coordinates"": [2.28761982367411, 48.8596154874161], ""type"": ""Point""}",Trocadéro - Parc des champions,
CDM,"48.8504242988135, 2.30525200008824","{""coordinates"": [2.30525200008824, 48.8504242988135], ""type"": ""Point""}",Arena Champ-de-Mars,
CTX,"46.8122005380339, 1.77802460996978","{""coordinates"": [1.77802460996978, 46.8122005380339], ""type"": ""Point""}",Centre National de Tir de Chateauroux,
INV,"48.8650342100177, 2.31455945183906","{""coordinates"": [2.31455945183906, 48.8650342100177], ""type"": ""Point""}",La Concorde,Invalides (INV) - P7LZ
XPG,"48.8807417870003, 2.35728616069692","{""coordinates"": [2.35728616069692, 48.8807417870003], ""type"": ""Point""}",PARIS GARE DU NORD Gare routiere,PARIS GARE DU NORD Gare routière PFR-navettes
CDM,"48.8599930001273, 2.29695299967588","{""coordinates"": [2.29695299967588, 48.8599930001273], ""type"": ""Point""}",Eiffel Champ-de-Mars,Eiffel Champ-de-Mars (ECM) EIF CDM - Taxi
INV,"48.8599160000914, 2.30966099977469","{""coordinates"": [2.30966099977469, 48.8599160000914], ""type"": ""Point""}",Invalides,Invalides (INV) - PSH-TAXI
INV,"48.8722966851281, 2.31454990739444","{""coordinates"": [2.31454990739444, 48.8722966851281], ""type"": ""Point""}",LCO BRC,Invalides (INV) - P7LZ
CPL,"48.8991376740722, 2.36624549594075","{""coordinates"": [2.36624549594075, 48.8991376740722], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de La Chapelle (CPL) - PFR-PARKING
STA,"48.9263469289514, 2.36653862699771","{""coordinates"": [2.36653862699771, 48.9263469289514], ""type"": ""Point""}",Stade de France,Stade de France (STA) - TAXI
