Nom français,Geo Point,Geo Shape,Site
Pont Alexandre III,"48.8645731054999, 2.3086451463695","{""coordinates"":[2.3086451463695,48.8645731054999],""type"":""Point""}",ALX
Centre Aquatique,"48.9248196207527, 2.35553674449798","{""coordinates"":[2.35553674449798,48.9248196207527],""type"":""Point""}",AQC
Centre Aquatique,"48.9190353865793, 2.35439970433837","{""coordinates"":[2.35439970433837,48.9190353865793],""type"":""Point""}",AQC
Centre Aquatique,"48.9228264729248, 2.35668248737719","{""coordinates"":[2.35668248737719,48.9228264729248],""type"":""Point""}",AQC
Centre Aquatique,"48.9228904365392, 2.35666444951966","{""coordinates"":[2.35666444951966,48.9228904365392],""type"":""Point""}",AQC
Centre Aquatique,"48.9247336268675, 2.35491689373673","{""coordinates"":[2.35491689373673,48.9247336268675],""type"":""Point""}",AQC
Centre Aquatique,"48.924797827362, 2.35532690627801","{""coordinates"":[2.35532690627801,48.924797827362],""type"":""Point""}",AQC
Centre Aquatique,"48.9230680384985, 2.35452988367758","{""coordinates"":[2.35452988367758,48.9230680384985],""type"":""Point""}",AQC
Centre Aquatique,"48.9248287460613, 2.35569656463468","{""coordinates"":[2.35569656463468,48.9248287460613],""type"":""Point""}",AQC
Centre Aquatique,"48.9233405146353, 2.35629155582369","{""coordinates"":[2.35629155582369,48.9233405146353],""type"":""Point""}",AQC
Centre Aquatique,"48.9231063470612, 2.35473637396374","{""coordinates"":[2.35473637396374,48.9231063470612],""type"":""Point""}",AQC
Centre Aquatique,"48.9247513389535, 2.35513618993725","{""coordinates"":[2.35513618993725,48.9247513389535],""type"":""Point""}",AQC
Arena Bercy,"48.8395124030613, 2.3789435152559","{""coordinates"":[2.3789435152559,48.8395124030613],""type"":""Point""}",BCY
Arena Bercy,"48.8359101057999, 2.37970332478886","{""coordinates"":[2.37970332478886,48.8359101057999],""type"":""Point""}",BCY
Arena Bercy,"48.8357050211312, 2.37995688361461","{""coordinates"":[2.37995688361461,48.8357050211312],""type"":""Point""}",BCY
Arena Bercy,"48.8394645537551, 2.37867255006136","{""coordinates"":[2.37867255006136,48.8394645537551],""type"":""Point""}",BCY
Arena Bercy,"48.8358069464206, 2.37982529216711","{""coordinates"":[2.37982529216711,48.8358069464206],""type"":""Point""}",BCY
Arena Bercy,"48.8354229279926, 2.38033035469171","{""coordinates"":[2.38033035469171,48.8354229279926],""type"":""Point""}",BCY
Arena Bercy,"48.8396274953868, 2.38410351559437","{""coordinates"":[2.38410351559437,48.8396274953868],""type"":""Point""}",BCY
Arena Bercy,"48.8356057243992, 2.38009012588174","{""coordinates"":[2.38009012588174,48.8356057243992],""type"":""Point""}",BCY
Arena Bercy,"48.8396319727142, 2.37874447882974","{""coordinates"":[2.37874447882974,48.8396319727142],""type"":""Point""}",BCY
Arena Bercy,"48.8355129498205, 2.38021754087084","{""coordinates"":[2.38021754087084,48.8355129498205],""type"":""Point""}",BCY
Arena Bercy,"48.8319522614838, 2.38476222794691","{""coordinates"":[2.38476222794691,48.8319522614838],""type"":""Point""}",BCY
Stade de Bordeaux,"44.9002152030268, -0.561219921291381","{""coordinates"":[-0.561219921291381,44.9002152030268],""type"":""Point""}",BOR
Stade de Bordeaux,"44.8997331949819, -0.560200971565261","{""coordinates"":[-0.560200971565261,44.8997331949819],""type"":""Point""}",BOR
