Geo Point,Geo Shape,Nom des sites,Nom des arrrêts
"47.2550989681329, -1.5236751155733","{""coordinates"": [-1.5236751155733, 47.2550989681329], ""type"": ""Point""}",Stade de la Beaujoire,Stade de la Beaujoire (NAN) - PSH-DEPOSE-MIN
"46.8131472488251, 1.75907818302591","{""coordinates"": [1.75907818302591, 46.8131472488251], ""type"": ""Point""}",Centre National de Tir de Chateauroux,Centre National de Tir de Châteauroux (CTX) - TS
"48.8337030982568, 2.28539994826649","{""coordinates"": [2.28539994826649, 48.8337030982568], ""type"": ""Point""}",Arena Paris Sud,Arena Paris Sud (SPA) - PFR-PARKING
"48.8501319799975, 2.30106178598758","{""coordinates"": [2.30106178598758, 48.8501319799975], ""type"": ""Point""}",Eiffel Champ-de-Mars,Arena Champ-de-Mars (CDM) ECM - PSH-DEPOSE-MIN
"48.9190117674656, 2.33562169671943","{""coordinates"": [2.33562169671943, 48.9190117674656], ""type"": ""Point""}",Village Olympique,Village Olympique (OLV) - PMR-Parking
"48.8941057625116, 2.22698475561999","{""coordinates"": [2.22698475561999, 48.8941057625116], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PMR-dépose-min
"48.8975466720037, 2.35911342541451","{""coordinates"": [2.35911342541451, 48.8975466720037], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de La Chapelle (CPL) - P7LZ
"48.7914471529375, 1.96550847332136","{""coordinates"": [1.96550847332136, 48.7914471529375], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PFR-navettes
"48.8293410504898, 2.2932838210164","{""coordinates"": [2.2932838210164, 48.8293410504898], ""type"": ""Point""}",Arena Paris Sud,Arena Paris Sud (SPA) - PFR-PARKING
"46.8132086717292, 1.75823470090672","{""coordinates"": [1.75823470090672, 46.8132086717292], ""type"": ""Point""}",Tir Chateauroux - Village,Centre National de Tir de Châteauroux (CTX) - PSH-DEPOSE-MIN
"48.8454497631483, 2.25348315207311","{""coordinates"": [2.25348315207311, 48.8454497631483], ""type"": ""Point""}",Stade Roland-Garros,Stade Roland-Garros (RGA) - PFR-PARKING
"48.8695691672167, 2.31146151016662","{""coordinates"": [2.31146151016662, 48.8695691672167], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PMR-Parking
"43.7074849373233, 7.19347637411567","{""coordinates"": [7.19347637411567, 43.7074849373233], ""type"": ""Point""}",Stade de Nice,
"48.9329689950851, 2.41561986246249","{""coordinates"": [2.41561986246249, 48.9329689950851], ""type"": ""Point""}",Site d'escalade du Bourget,
"46.8205241870983, 1.75826809271894","{""coordinates"": [1.75826809271894, 46.8205241870983], ""type"": ""Point""}",Centre de Tir de Chateauroux,Centre National de Tir de Châteauroux (CTX) - WKF
"48.8641870123136, 2.64066074946286","{""coordinates"": [2.64066074946286, 48.8641870123136], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne,
"48.8807417870003, 2.35728616069692","{""coordinates"": [2.35728616069692, 48.8807417870003], ""type"": ""Point""}",PARIS GARE DU NORD Gare routiere,PARIS GARE DU NORD Gare routière PFR-navettes
"48.8722966851281, 2.31454990739444","{""coordinates"": [2.31454990739444, 48.8722966851281], ""type"": ""Point""}",LCO BRC,Invalides (INV) - P7LZ
"48.862097413884, 2.30932743464844","{""coordinates"": [2.30932743464844, 48.862097413884], ""type"": ""Point""}",Invalides,Invalides (INV) - PFR-navettes
"48.8688851651915, 2.32351024206833","{""coordinates"": [2.32351024206833, 48.8688851651915], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PFR-navettes
"48.7523893797715, 2.06846775581832","{""coordinates"": [2.06846775581832, 48.7523893797715], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - TS
"48.8330568148669, 2.28656629657687","{""coordinates"": [2.28656629657687, 48.8330568148669], ""type"": ""Point""}",Arena Paris Sud 1 4,Arena Paris Sud 1 (SP1) SP4 - PFR-navettes
"48.8490356387457, 2.25775565185379","{""coordinates"": [2.25775565185379, 48.8490356387457], ""type"": ""Point""}",Stade Roland-Garros - Parc des Princes,Stade Roland-Garros (RGA) PDP - TS
"43.2697376022418, 5.40006851914492","{""coordinates"": [5.40006851914492, 43.2697376022418], ""type"": ""Point""}",Stade de Marseille,Stade de Marseille (MRS) - PFR-navettes
"48.850484899962, 2.30232432230533","{""coordinates"": [2.30232432230533, 48.850484899962], ""type"": ""Point""}",Arena Champ-de-Mars,Arena Champ-de-Mars (CDM) - PFR-navettes
"48.8366074010126, 2.38371346391422","{""coordinates"": [2.38371346391422, 48.8366074010126], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PFR-PARKING
"48.9247330031411, 2.35480087174455","{""coordinates"": [2.35480087174455, 48.9247330031411], ""type"": ""Point""}",Centre Aquatique,Centre Aquatique (AQC) - PSH-DEPOSE-MIN
"48.8454306989506, 2.25354001543061","{""coordinates"": [2.25354001543061, 48.8454306989506], ""type"": ""Point""}",Stade Roland-Garros,Stade Roland-Garros (RGA) - PMR-Parking
"50.6099708104673, 3.13015394354513","{""coordinates"": [3.13015394354513, 50.6099708104673], ""type"": ""Point""}",Stade Pierre Mauroy,
"44.8998404672792, -0.560647953518771","{""coordinates"": [-0.560647953518771, 44.8998404672792], ""type"": ""Point""}",Stade de Bordeaux,
"48.8428856448987, 2.3658886273877","{""coordinates"": [2.3658886273877, 48.8428856448987], ""type"": ""Point""}",PARIS AUSTERLITZ Sortie Cour Seine,PARIS AUSTERLITZ Sortie Cour Seine PFR-navettes
"43.2613423811055, 5.37460240912415","{""coordinates"": [5.37460240912415, 43.2613423811055], ""type"": ""Point""}",Marina de Marseille,Marina de Marseille (MAM) - PSH-DEPOSE-MIN
"44.8991210299588, -0.561738653800775","{""coordinates"": [-0.561738653800775, 44.8991210299588], ""type"": ""Point""}",Stade de Bordeaux,Stade de Bordeaux (BOR) - PSH-DEPOSE-MIN
"48.8181355917539, 2.08421363273087","{""coordinates"": [2.08421363273087, 48.8181355917539], ""type"": ""Point""}",Chateau de Versailles,Château de Versailles (VER) VER VER - PFR-navettes
"48.7892434078688, 2.03286763070314","{""coordinates"": [2.03286763070314, 48.7892434078688], ""type"": ""Point""}",Velopark de St-Q.-en-Yvelines,Velopark de Saint-Quentin-en-Yvelines (VEL) - PFR-navettes
"48.9257521972527, 2.24785538109127","{""coordinates"": [2.24785538109127, 48.9257521972527], ""type"": ""Point""}",Stade Yves-du-Manoir,Stade Yves-du-Manoir (YDM) - PFR-PARKING
"48.8647197931186, 2.64390197711707","{""coordinates"": [2.64390197711707, 48.8647197931186], ""type"": ""Point""}",Stade Nautique de Vaires-sur-Marne,Stade Nautique de Vaires-sur-Marne (VNS) - PFR-navettes
"46.8259811477908, 1.75971665432588","{""coordinates"": [1.75971665432588, 46.8259811477908], ""type"": ""Point""}",PESI,Village Olympique Châteauroux (OVC) - PFR-navettes
"48.8619445344819, 2.30962387996546","{""coordinates"": [2.30962387996546, 48.8619445344819], ""type"": ""Point""}",Invalides,Invalides (INV) - PSH-DEPOSE-MIN
"46.826276371884, 1.75692437870744","{""coordinates"": [1.75692437870744, 46.826276371884], ""type"": ""Point""}",PESI,Village Olympique Châteauroux (OVC) - PFR-navettes
